name,coalition,num,party_1,party_2,start,finish
Nelson Serrano Reyes,PAIS,PAIS,PAIS,PAIS,2013,2015
Mónica Alemán Mármol,PAIS,PAIS,PAIS,PAIS,2015,2017
Raúl Patiño Aroca,PAIS,PAIS,PAIS,PAIS,2013,2015
Mónica Brito Mendoza,PAIS,PAIS,PAIS,PAIS,2015,2017
Gina Godoy Andrade,PAIS,PAIS,PAIS,PAIS,2013,2017
Bairon Valle Pinargote,PAIS,PAIS,PAIS,PAIS,2013,2017
Adriana de la Cruz Gaspar,PAIS,PAIS,PAIS,PAIS,2013,2017
Henry Cucalón Camacho,Sin bancada,Sin bancada,PSC - Madera de Guerrero,PSC,2013,2017
María Alejandra Vicuña Muñoz,PAIS,PAIS,PAIS,PAIS,2013,2017
Guadalupe Salazar Cedeño,PAIS,PAIS,PAIS,PAIS,2013,2017
Alberto Arias Ramírez,PAIS,PAIS,PAIS,PAIS,2013,2017
Octavio Villacreses Peña,PAIS,PAIS,PAIS,PAIS,2013,2017
María Cristina Kronfle Gómez,Sin bancada,Sin bancada,PSC - Madera de Guerrero,PSC,2013,2017
Juan Carlos Cassinelli Cali,PAIS,PAIS,PAIS,PAIS,2013,2016
Lorena Bravo Ramírez,PAIS,PAIS,PAIS,PAIS,2016,2017
Nicolás Issa Wagner,PAIS,PAIS,PAIS,PAIS,2013,2017
Alexandra Arce Plúas,PAIS,PAIS,PAIS,PAIS,2013,2013
Christian Viteri López,Sin bancada,Sin bancada,PAIS,Ind.,2013,2017
Cristina Reyes Hidalgo,Sin bancada,Sin bancada,PSC - Madera de Guerrero,PSC,2013,2017
Moisés Tacle Galarraga,Sin bancada,Sin bancada,PSC - Madera de Guerrero,PSC,2013,2017
Denisse Robles Andrade,PAIS,PAIS,PAIS,PAIS,2013,2013
Víctor Medina Mera,PAIS,PAIS,PAIS,PAIS,2013,2017
Gastón Gagliardo Loor,PAIS,PAIS,PAIS,PAIS,2013,2017
Verónica Guevara Villacrés,PAIS,PAIS,PAIS,PAIS,2013,2017
Ángel Rivero Doguer,PAIS,PAIS,PAIS,PAIS,2013,2017
Liuba Cuesta Ríos,PAIS,PAIS,PAIS,PAIS,2013,2017
Lídice Larrea Viteri,PAIS,PAIS,PAIS - Unidad Primero,PAIS,2013,2016
Daniel Mendoza Arévalo,Aliados PAIS,Aliados PAIS,PAIS - Unidad Primero,Unidad Primero,2016,2017
Ricardo Zambrano Arteaga,Aliados PAIS,Aliados PAIS,PAIS - Unidad Primero,Unidad Primero,2013,2017
María Soledad Vela Cheroni,PAIS,PAIS,PAIS - Unidad Primero,PAIS,2013,2017
Gozoso Andrade Varela,Sin bancada,Sin bancada,AVANZA,AVANZA,2013,2017
Félix Alcívar Mera,PAIS,PAIS,PAIS - Unidad Primero,PAIS,2013,2013
Kerlly Torres Cedeño,PAIS,PAIS,PAIS - Unidad Primero,PAIS,2013,2015
Santiago Montenegro Nuñez,PAIS,PAIS,PAIS - Unidad Primero,PAIS,2015,2017
Verónica Rodríguez Delgado,PAIS,PAIS,PAIS - Unidad Primero,PAIS,2013,2017
Carlos Bergmann Reyna,Aliados PAIS,Aliados PAIS,PAIS - Unidad Primero,Unidad Primero,2013,2017
Teresa Benavides Zambrano,PAIS,PAIS,PAIS - Unidad Primero,PAIS,2013,2017
José Veliz Briones,Aliados PAIS,Aliados PAIS,PAIS - Unidad Primero,Unidad Primero,2013,2017
Rosana Alvarado Carrión,PAIS,PAIS,PAIS,PAIS,2013,2017
Oswaldo Larriva Alvarado,Sin bancada,Sin bancada,PAIS,Ind.,2013,2017
Maríangel Muñoz Vicuña,PAIS,PAIS,PAIS,PAIS,2013,2017
Diego Vintimilla Jarrín,PAIS,PAIS,PAIS,PAIS,2013,2017
Liliana Guzmán Ochoa,PAIS,PAIS,PAIS,PAIS,2013,2017
Fabián Solano Moreno,Aliados PAIS,Aliados PAIS,PAIS - PS-FA,PS-FA,2013,2016
Reyta Dahik Astudillo,Aliados PAIS,Aliados PAIS,PAIS - PS-FA,PS-FA,2016,2017
Holger Chávez Canales,PAIS,PAIS,PAIS - PS-FA,PAIS,2013,2017
Luis Tapia Lombeyda,Sin bancada,Sin bancada,PSP,Ind.,2013,2017
Raúl Abad Vélez,PAIS,PAIS,PAIS,PAIS,2013,2017
Paulina Padrón Saeteros,PAIS,PAIS,PAIS,PAIS,2013,2017
Bayron Pacheco Ordóñez,Sin bancada,Sin bancada,AVANZA,AVANZA,2013,2017
Ulises de la Cruz Bernardo,PAIS,PAIS,PAIS,PAIS,2013,2017
Carlos Velasco Enríquez,PAIS,PAIS,PAIS,PAIS,2013,2017
René Yandún Pozo,Sin bancada,Sin bancada,Integración Democrática del Carchi,Integración Democrática del Carchi,2013,2017
Mauro Andino Reinoso,PAIS,PAIS,PAIS - Pachakutik,PAIS,2013,2017
Rosa Muñoz Avendaño,Aliados PAIS,Aliados PAIS,PAIS - Pachakutik,MUPP,2013,2017
Paco Fierro Oviedo,Sin bancada,Sin bancada,PSP,PSP,2013,2017
Ricardo Moncayo Cevallos,Sin bancada,Sin bancada,CREO,CREO,2013,2017
Ramiro Vela Caizapanta,PAIS,PAIS,PAIS,PAIS,2013,2017
Rocío Albán Torres,PAIS,PAIS,PAIS,PAIS,2013,2017
Gilberto Guamangate Ante,PAIS,PAIS,PAIS,PAIS,2013,2017
César Umajinga Guamán,Sin bancada,Sin bancada,Pachakutik,MUPP,2013,2017
Galo Borja Pérez,PAIS,PAIS,PAIS - Movimiento Autonómico Regional,PAIS,2013,2017
Montgomery Sánchez Ordóñez,Aliados PAIS,Aliados PAIS,PAIS - Movimiento Autonómico Regional,PAIS,2013,2017
Rocío Valarezo Ordóñez,Aliados PAIS,Aliados PAIS,PAIS - Movimiento Autonómico Regional,PAIS,2013,2017
Édgar Córdova Encalda,PAIS,PAIS,PAIS - Movimiento Autonómico Regional,PAIS,2013,2017
Franco Romero Loayza,Sin bancada,Sin bancada,PSC,Ind.,2013,2017
Lenin Lara Rivadeneira,PAIS,PAIS,PAIS,PAIS,2013,2013
Esther Ortiz Gaspar,PAIS,PAIS,PAIS,PAIS,2013,2017
Esperanza Galván García,PAIS,PAIS,PAIS,PAIS,2013,2015
Pablo de la Torre Ramírez,PAIS,PAIS,PAIS,PAIS,2015,2017
Gabriel Rivera López,PAIS,PAIS,PAIS,PAIS,2013,2016
Italia Jijón Buendía,PAIS,PAIS,PAIS,PAIS,2016,2017
Ramiro Tenelema Romero,Sin bancada,Sin bancada,CREO,CREO,2013,2015
Pavel Chica Arteaga,Sin bancada,Sin bancada,CREO,CREO,2015,2017
Ángel Vilema Freire,Sin bancada,Sin bancada,PAIS,Ind.,2013,2017
Fanny Uribe López,Sin bancada,Sin bancada,AVANZA,AVANZA,2013,2017
Richard Calderón Saltos,PAIS,PAIS,PAIS,PAIS,2013,2017
Marisol Peñafiel Montesdeoca,PAIS,PAIS,PAIS,PAIS,2013,2017
Agustín Delgado Chalá,PAIS,PAIS,PAIS,PAIS,2013,2017
Antonio Posso Salgado,Sin bancada,Sin bancada,AVANZA,AVANZA,2013,2017
Miryam González Serrano,PAIS,PAIS,PAIS - PS-FA,PAIS,2013,2017
Richard Farfán Aponte,PAIS,PAIS,PAIS - PS-FA,PAIS,2013,2017
Raúl Auquilla Ortega,Sin bancada,Sin bancada,CREO,CREO,2013,2017
José Bolívar Castillo Vivanco,Aliados PAIS,Aliados PAIS,Acción Regional por la Equidad,Acción Regional por la Equidad,2013,2013
Verónica Arias Fernández,Aliados PAIS,Aliados PAIS,Acción Regional por la Equidad,Acción Regional por la Equidad,2013,2017
Omar Juez Juez,PAIS,PAIS,PAIS,PAIS,2013,2017
Pamela Falconí Loqui,PAIS,PAIS,PAIS,PAIS,2013,2017
José Zapata Mantilla,PAIS,PAIS,PAIS,PAIS,2013,2017
Marcia Arregui Rueda,PAIS,PAIS,PAIS,PAIS,2013,2017
Lautaro Sáenz de Viteri Zajia,PAIS,PAIS,PAIS,PAIS,2013,2017
Johnny Terán Salcedo,Sin bancada,Sin bancada,CREO - PSC,PSC,2013,2013
Ramón Terán Salcedo,Sin bancada,Sin bancada,CREO - PSC,PSC,2013,2017
Pepe Acacho González,Sin bancada,Sin bancada,Pachakutik - MPD,MUPP,2013,2017
Vethowen Chica Arévalo,PAIS,PAIS,PAIS,PAIS,2013,2017
César Solórzano Sarria,Sin bancada,Sin bancada,PSP,PSP,2013,2017
Gina Sanmiguel Palacios,PAIS,PAIS,PAIS,PAIS,2013,2013
Herman Moya Duque,PAIS,PAIS,PAIS,PAIS,2013,2017
Alberto Zambrano Chacha,PAIS,PAIS,PAIS,PAIS,2013,2017
Magali Orellana Marquinez,Sin bancada,Sin bancada,Pachakutik - MPD,MPD,2013,2017
Germán Ledesma Zamora,Sin bancada,Sin bancada,AVANZA,AVANZA,2013,2013
Gabriela Díaz Coka,Sin bancada,Sin bancada,AVANZA,AVANZA,2013,2017
Óscar Ledesma Zamora,PAIS,PAIS,PAIS,PAIS,2013,2017
Vanessa Fajardo Mosquera,PAIS,PAIS,PAIS,PAIS,2013,2017
Noralma Zambrano Castro,PAIS,PAIS,PAIS,PAIS,2013,2017
Daniel Cisneros Soria,Aliados PAIS,Aliados PAIS,Creyendo en Nuestra Gente,PAIS,2013,2013
Elvira Canales Proaño,Aliados PAIS,Aliados PAIS,Creyendo en Nuestra Gente,PAIS,2013,2015
Raúl Villao Panchana,Creyendo en Nuestra Gente,Creyendo en Nuestra Gente,Creyendo en Nuestra Gente,PAIS,2015,2017
Rita Matías Apolinario,Aliados PAIS,Aliados PAIS,Creyendo en Nuestra Gente,PAIS,2015,2017
Johanna Cedeño Zambrano,PAIS,PAIS,PAIS,PAIS,2013,2017
William Garzón Ricuarte,PAIS,PAIS,PAIS,PAIS,2013,2017
Mary Verduga Cedeño,PAIS,PAIS,PAIS,PAIS,2013,2017
Miguel Ángel Moreta Panchez,Sin bancada,Sin bancada,CREO,CREO,2013,2017
Nancy Morocho Velaña,PAIS,PAIS,PAIS,PAIS,2013,2017
Raúl Tobar Nuñez,PAIS,PAIS,PAIS,PAIS,2013,2017
Armando Aguilar,PAIS,PAIS,PAIS,PAIS,2013,2017
Arcadio Bustos Chiliquinga,Sin bancada,Sin bancada,PSP,PSP,2013,2017
Alexis Sánchez Miño,PAIS,PAIS,PAIS,PAIS,2013,2013
Elizabeth Reinoso Lescano,PAIS,PAIS,PAIS,PAIS,2013,2017
Betty Carrillo Gallegos,PAIS,PAIS,PAIS,PAIS,2013,2017
Betty Jérez Pilla,PAIS,PAIS,PAIS,PAIS,2013,2017
Luis Fernando Torres Torres,Sin bancada,Sin bancada,CREO - PSC-Tiempo de Cambio,PSC,2013,2017
Cléver Jiménez Cabrera,Sin bancada,Sin bancada,Pachakutik - MPD,Pachakutik,2013,2014
Milton Gualán Japa,Sin bancada,Sin bancada,Pachakutik - MPD,MPD,2014,2017
Zobeida Gudiño Mena,PAIS,PAIS,PAIS,PAIS,2013,2016
Víctor Hugo Jaramillo Rodríguez,PAIS,PAIS,PAIS,PAIS,2016,2017
Eduardo Zambrano Cabanilla,PAIS,PAIS,PAIS,PAIS,2013,2017
Diana Peña Carrasco,PAIS,PAIS,PAIS,PAIS,2013,2017
Ximena Peña Pacheco,PAIS,PAIS,PAIS,PAIS,2013,2017
Alex Guamán Castro,PAIS,PAIS,PAIS,PAIS,2013,2017
Dora Aguirre Hidalgo,PAIS,PAIS,PAIS,PAIS,2013,2017
Esteban Melo Garzón,PAIS,PAIS,PAIS,PAIS,2013,2017
