name,coalition,num,party_1,party_2,start,finish
Calle Verzozi Hermuy,Revolución Ciudadana,15,PAIS - MUPP,FCS,14 de mayo de 2017,14 de mayo de 2021
Corozo Ayoví Jorge Wilber,Aliados PAIS,24,PAIS - MUPP,MUPP,14 de mayo de 2017,14 de mayo de 2021
Cruz Proaño Ludovico Israel,Integración Nacional,91,SUMA - Cambio,Cambio,14 de mayo de 2017,14 de mayo de 2021
Curichumbi Yupanqui Pedro,Unidad por el Cambio,100,CREO - Amauta Yuyay,Amauta Yuyay,14 de mayo de 2017,14 de mayo de 2021
Carrión Moreno César Ataulfo,Unidad por el Cambio,83,CREO - SUMA,CREO,14 de mayo de 2017,14 de mayo de 2021
García Gaibor Carmen Mercedes,Revolución Ciudadana,32,PAIS,FCS,14 de mayo de 2017,14 de mayo de 2021
Marín Aguirre Ana Belén,PAIS,40,PAIS,PAIS,14 de mayo de 2017,14 de mayo de 2021
Olivo Pallo Jaime Fernando,Integración Nacional,109,MUPP,MUPP,14 de mayo de 2017,14 de mayo de 2021
Falquez Batallas Pedro Carlos,Cambio Positivo,79,PSC,PSC,14 de mayo de 2017,14 de diciembre de 2018
Henríquez Jaime Patricia Ivonne,Cambio Positivo,87,PSC,PSC,14 de mayo de 2017,14 de mayo de 2021
Orellana Róman Rosa Gina,PAIS,46,PAIS - MAR,PAIS,14 de mayo de 2017,14 de mayo de 2021
Romero Loayza Franco Segundo,Bloque de Acción Democrática Independiente,132,CREO - SUMA,Ind.,14 de mayo de 2017,14 de mayo de 2021
Sánchez Reyes Montgomery,Aliados PAIS,59,PAIS - MAR,Movimiento Autonómico Regional,14 de mayo de 2017,20 de diciembre de 2018
Serrano Viteri Mercedes Maritza,Cambio Positivo,79,PSC,PSC,14 de diciembre de 2018,14 de mayo de 2021
Yaguana Echeverría Andrea Alexandra,Aliados PAIS,59,PAIS - MAR,Movimiento Autonómico Regional,20 de diciembre de 2018,14 de mayo de 2021
Campain Brambilla Rina Asunción,Unidad por el Cambio,81,CREO - SUMA,CREO,14 de mayo de 2017,14 de mayo de 2021
Estupiñan Ortiz Boris Efrén,Sin bancada,129,PSC,MC25,20 de diciembre de 2018,14 de mayo de 2021
Plaza Castillo Lenin,Sin Bancada,49,PAIS,Ind.,14 de mayo de 2017,14 de mayo de 2021
Rivadeneira Bustos Carmen Mercedes,Revolución Ciudadana,55,PAIS,FCS,14 de mayo de 2017,14 de mayo de 2021
Zambrano Ortíz María Roberta,Cambio Positivo,129,PSC,PSC,14 de mayo de 2017,14 de mayo de 2021
Flor Gil Brenda Azucena,PAIS,31,PAIS,PAIS,14 de mayo de 2017,14 de mayo de 2021
Paredes Torres Washington Arturo,Bloque de Acción Democrática Independiente,131,CREO - SUMA,Ind.,14 de mayo de 2017,14 de mayo de 2021
